# Name, Student Number
# Nikolas Maier, 500461990
# Oluwatomilayo Adegbite, 500569283
Gambler #,Round #,Optimal Arm,Average reward,Times optimal action picked,Probability of Picking Optimal,Actual Probability
22,3300,0,309.4,2284,0.8915286379,0.9938351482
22,3400,0,319.3,2377,0.9205399303,0.9938351482
22,3500,0,329.1,2469,0.9249493609,0.9938351482
22,3600,0,339,2559,0.9096619588,0.9938351482
22,3700,0,348.8,2651,0.9153188944,0.9938351482
22,3800,0,358.5,2734,0.8711221124,0.9938351482
22,3900,0,368.4,2817,0.8381678136,0.9938351482
22,4000,0,378.3,2900,0.8322000311,0.9938351482
22,4100,0,388.2,2984,0.8526871243,0.9938351482
22,4200,0,398.2,3078,0.908783903,0.9938351482
22,4300,0,408.1,3167,0.9035971961,0.9938351482
22,4400,0,418,3259,0.9278792903,0.9938351482
22,4500,0,428,3350,0.9150212083,0.9938351482
22,4600,0,437.9,3447,0.9539717444,0.9938351482
22,4700,0,447.7,3543,0.9615670485,0.9938351482
22,4800,0,457.5,3638,0.9522449435,0.9938351482
22,4900,0,467.4,3735,0.9679459581,0.9938351482
22,5000,0,477.4,3833,0.9771519287,0.9938351482
23,0,0,0,0,0.1,0.996487112
23,100,0,5,12,0.1605138909,0.996487112
23,200,0,11,25,0.1795638344,0.996487112
23,300,0,18.7,44,0.2157324364,0.996487112
23,400,0,26.5,65,0.2446232429,0.996487112
23,500,0,35.2,91,0.2640399873,0.996487112
23,600,0,43.9,120,0.2926205668,0.996487112
23,700,0,52.6,144,0.2670199891,0.996487112
23,800,0,61.4,170,0.2689287706,0.996487112
23,900,0,70.1,190,0.2556314945,0.996487112
23,1000,0,78.7,220,0.3101704594,0.996487112
23,1100,0,87.2,239,0.2616929346,0.996487112
23,1200,0,96.1,263,0.2683919731,0.996487112
23,1300,0,105.1,290,0.2899308085,0.996487112
23,1400,0,114.3,325,0.3456669276,0.996487112
23,1500,0,123,348,0.3012189797,0.996487112
23,1600,0,132.4,395,0.4332556174,0.996487112
23,1700,0,141.8,445,0.4788800353,0.996487112
23,1800,0,151,486,0.4565318489,0.996487112
23,1900,0,160.1,545,0.5798087285,0.996487112
23,2000,0,169.3,608,0.6490793703,0.996487112
23,2100,0,178.8,679,0.7255529783,0.996487112
23,2200,0,188.5,752,0.7277723273,0.996487112
23,2300,0,198.3,830,0.7853196805,0.996487112
23,2400,0,207.7,910,0.8222238857,0.996487112
23,2500,0,217.4,989,0.8140407081,0.996487112
23,2600,0,227.1,1074,0.842432405,0.996487112
23,2700,0,236.9,1165,0.8922974448,0.996487112
23,2800,0,246.8,1261,0.944008252,0.996487112
23,2900,0,256.8,1358,0.9603333963,0.996487112
23,3000,0,266.8,1454,0.9580200817,0.996487112
23,3100,0,276.7,1553,0.98447878,0.996487112
23,3200,0,286.6,1651,0.9899190317,0.996487112
23,3300,0,296.6,1748,0.97262092,0.996487112
23,3400,0,306.5,1845,0.9803706594,0.996487112
23,3500,0,316.5,1941,0.9649230942,0.996487112
23,3600,0,326.5,2038,0.9648641386,0.996487112
23,3700,0,336.4,2135,0.9751348259,0.996487112
23,3800,0,346.3,2235,0.9908066082,0.996487112
23,3900,0,356.2,2335,0.9966009306,0.996487112
23,4000,0,366.2,2435,0.9987558307,0.996487112
23,4100,0,376.2,2535,0.9995445938,0.996487112
23,4200,0,386.2,2635,0.9998333066,0.996487112
23,4300,0,396.1,2735,0.9999383685,0.996487112
23,4400,0,406.1,2835,0.9999774409,0.996487112
23,4500,0,416,2935,0.9999916592,0.996487112
23,4600,0,426,3035,0.999996947,0.996487112
23,4700,0,435.8,3135,0.9999988598,0.996487112
23,4800,0,445.7,3235,0.9999995784,0.996487112
23,4900,0,455.7,3335,0.9999998457,0.996487112
23,5000,0,465.7,3435,0.9999999435,0.996487112
24,0,0,0,0,0.1,0.9278497393
