# Name, Student Number
# Nikolas Maier, 500461990
# Oluwatomilayo Adegbite, 500569283
Gambler #,Round #,Optimal Arm,Average reward,Times optimal action picked,Actual Probability
72,1700,8,166.3,1689,0.9842133545
72,1800,8,176.3,1789,0.9842133545
72,1900,8,186.3,1889,0.9842133545
72,2000,8,196.2,1989,0.9842133545
72,2100,8,206,2089,0.9842133545
72,2200,8,215.9,2189,0.9842133545
72,2300,8,225.7,2289,0.9842133545
72,2400,8,235.5,2389,0.9842133545
72,2500,8,245.3,2489,0.9842133545
72,2600,8,255.1,2589,0.9842133545
72,2700,8,265.1,2689,0.9842133545
72,2800,8,275,2789,0.9842133545
72,2900,8,284.9,2889,0.9842133545
72,3000,8,294.9,2989,0.9842133545
72,3100,8,304.3,3089,0.9842133545
72,3200,8,314.1,3189,0.9842133545
72,3300,8,324.1,3289,0.9842133545
72,3400,8,333.9,3389,0.9842133545
72,3500,8,343.7,3489,0.9842133545
72,3600,8,353.5,3589,0.9842133545
72,3700,8,363.4,3689,0.9842133545
72,3800,8,373.2,3789,0.9842133545
72,3900,8,383.1,3889,0.9842133545
72,4000,8,392.9,3989,0.9842133545
72,4100,8,402.5,4089,0.9842133545
72,4200,8,412.3,4189,0.9842133545
72,4300,8,421.9,4289,0.9842133545
72,4400,8,431.7,4389,0.9842133545
72,4500,8,441.6,4489,0.9842133545
72,4600,8,451.4,4589,0.9842133545
72,4700,8,461.1,4689,0.9842133545
72,4800,8,470.7,4789,0.9842133545
72,4900,8,480.6,4889,0.9842133545
72,5000,8,490.6,4989,0.9842133545
73,0,0,0,0,0.8753816037
73,100,0,8.4,88,0.8753816037
73,200,0,16.9,188,0.8753816037
73,300,0,26,288,0.8753816037
73,400,0,34.7,388,0.8753816037
73,500,0,43.8,488,0.8753816037
73,600,0,52.1,588,0.8753816037
73,700,0,61.3,688,0.8753816037
73,800,0,70.3,788,0.8753816037
73,900,0,79,888,0.8753816037
73,1000,0,87.6,988,0.8753816037
73,1100,0,96.7,1088,0.8753816037
73,1200,0,105.9,1188,0.8753816037
73,1300,0,115.2,1288,0.8753816037
73,1400,0,123.8,1388,0.8753816037
73,1500,0,132.6,1488,0.8753816037
73,1600,0,140.9,1588,0.8753816037
73,1700,0,150,1688,0.8753816037
73,1800,0,158.9,1788,0.8753816037
73,1900,0,167.2,1888,0.8753816037
73,2000,0,175.9,1988,0.8753816037
73,2100,0,184.5,2088,0.8753816037
73,2200,0,193.3,2188,0.8753816037
73,2300,0,201.8,2288,0.8753816037
73,2400,0,211,2388,0.8753816037
73,2500,0,219.5,2488,0.8753816037
73,2600,0,227.8,2588,0.8753816037
73,2700,0,236.3,2688,0.8753816037
73,2800,0,245.2,2788,0.8753816037
73,2900,0,253.9,2888,0.8753816037
73,3000,0,262.3,2988,0.8753816037
73,3100,0,270.5,3088,0.8753816037
73,3200,0,278.9,3188,0.8753816037
73,3300,0,288.2,3288,0.8753816037
73,3400,0,297.7,3388,0.8753816037
73,3500,0,306.5,3488,0.8753816037
73,3600,0,314.8,3588,0.8753816037
73,3700,0,323.6,3688,0.8753816037
73,3800,0,331.9,3788,0.8753816037
73,3900,0,340.7,3888,0.8753816037
73,4000,0,348.8,3988,0.8753816037
73,4100,0,357.9,4088,0.8753816037
73,4200,0,367.1,4188,0.8753816037
73,4300,0,375.8,4288,0.8753816037
73,4400,0,384.6,4388,0.8753816037
73,4500,0,393.2,4488,0.8753816037
73,4600,0,401.7,4588,0.8753816037
73,4700,0,411.1,4688,0.8753816037
73,4800,0,419.9,4788,0.8753816037
73,4900,0,428.3,4888,0.8753816037
73,5000,0,437.1,4988,0.8753816037
74,0,6,0,0,0.9901251517
74,100,6,9.3,9,0.9901251517
74,200,6,18.9,9,0.9901251517
74,300,6,28.5,9,0.9901251517
74,400,6,38.3,9,0.9901251517
74,500,6,48.3,9,0.9901251517
74,600,6,58,9,0.9901251517
74,700,6,67.7,9,0.9901251517
74,800,6,77.3,9,0.9901251517
74,900,6,87,9,0.9901251517
74,1000,6,96.8,9,0.9901251517
74,1100,6,106.8,9,0.9901251517
74,1200,6,116.7,9,0.9901251517
74,1300,6,126.4,9,0.9901251517
74,1400,6,136.2,9,0.9901251517
74,1500,6,145.8,9,0.9901251517
74,1600,6,155.5,9,0.9901251517
74,1700,6,164.8,9,0.9901251517
74,1800,6,174.8,9,0.9901251517
74,1900,6,184.6,9,0.9901251517
74,2000,6,194.2,9,0.9901251517
74,2100,6,203.9,9,0.9901251517
74,2200,6,213.6,9,0.9901251517
74,2300,6,223.6,9,0.9901251517
74,2400,6,233.3,9,0.9901251517
74,2500,6,243.2,9,0.9901251517
74,2600,6,253.2,9,0.9901251517
74,2700,6,262.6,9,0.9901251517
74,2800,6,272.5,9,0.9901251517
74,2900,6,282.5,9,0.9901251517
74,3000,6,292.2,9,0.9901251517
74,3100,6,302,9,0.9901251517
74,3200,6,312,9,0.9901251517
74,3300,6,321.9,9,0.9901251517
74,3400,6,331.6,9,0.9901251517
74,3500,6,341.4,9,0.9901251517
74,3600,6,351.3,9,0.9901251517
74,3700,6,360.9,9,0.9901251517
