# Name, Student Number
# Nikolas Maier, 500461990
# Oluwatomilayo Adegbite, 500569283
Gambler #,Round #,Optimal Arm,Average reward,Times optimal action picked,Probability of Picking Optimal,Actual Probability
6,2700,1,222.2,1735,0.8621169652,0.9997568719
6,2800,1,231.8,1821,0.8669120949,0.9997568719
6,2900,1,241,1906,0.8609267458,0.9997568719
6,3000,1,250.2,1993,0.875701578,0.9997568719
6,3100,1,259.9,2087,0.913546897,0.9997568719
6,3200,1,269.4,2178,0.9091025194,0.9997568719
6,3300,1,279.3,2268,0.906832845,0.9997568719
6,3400,1,289.2,2366,0.9574079172,0.9997568719
6,3500,1,299.2,2465,0.9806375537,0.9997568719
6,3600,1,309.2,2565,0.9929127185,0.9997568719
6,3700,1,319.2,2665,0.9974058257,0.9997568719
6,3800,1,329.2,2765,0.9990504483,0.9997568719
6,3900,1,339.2,2865,0.9996524334,0.9997568719
6,4000,1,349.2,2965,0.9998727794,0.9997568719
6,4100,1,359.2,3065,0.9999534331,0.9997568719
6,4200,1,369.2,3165,0.999982955,0.9997568719
6,4300,1,379.1,3265,0.9955185288,0.9997568719
6,4400,1,389.1,3365,0.9983596366,0.9997568719
6,4500,1,399,3464,0.9946804136,0.9997568719
6,4600,1,409,3564,0.9980528593,0.9997568719
6,4700,1,419,3664,0.9992872835,0.9997568719
6,4800,1,429,3764,0.9997391227,0.9997568719
6,4900,1,439,3864,0.9999045105,0.9997568719
6,5000,1,449,3964,0.9999650477,0.9997568719
7,0,0,0,0,0.1,0.9458286819
7,100,0,4,12,0.1515224801,0.9458286819
7,200,0,8.9,19,0.1317053909,0.9458286819
7,300,0,13.3,29,0.1372710252,0.9458286819
7,400,0,18.6,40,0.143950978,0.9458286819
7,500,0,24.2,51,0.158598126,0.9458286819
7,600,0,30.1,70,0.2151053415,0.9458286819
7,700,0,37.7,100,0.2790066152,0.9458286819
7,800,0,44.2,123,0.2690916522,0.9458286819
7,900,0,50.8,145,0.2450185712,0.9458286819
7,1000,0,57.9,183,0.3486853791,0.9458286819
7,1100,0,64.3,216,0.3300230583,0.9458286819
7,1200,0,70.3,242,0.3041517506,0.9458286819
7,1300,0,76.9,270,0.3140177506,0.9458286819
7,1400,0,84.1,302,0.2997597268,0.9458286819
7,1500,0,90.6,339,0.3559078411,0.9458286819
7,1600,0,96.4,361,0.2942435763,0.9458286819
7,1700,0,103,396,0.3170477605,0.9458286819
7,1800,0,109.3,426,0.3008281219,0.9458286819
7,1900,0,115.5,455,0.3030995835,0.9458286819
7,2000,0,122.1,493,0.3591239947,0.9458286819
7,2100,0,128.1,522,0.3344632084,0.9458286819
7,2200,0,134.9,552,0.3415501726,0.9458286819
7,2300,0,141.6,588,0.3573149721,0.9458286819
7,2400,0,147.6,624,0.3653551539,0.9458286819
7,2500,0,153.6,653,0.3532310435,0.9458286819
7,2600,0,160,696,0.4020358923,0.9458286819
7,2700,0,166.8,732,0.4050343876,0.9458286819
7,2800,0,173.3,778,0.4393017477,0.9458286819
7,2900,0,180.1,815,0.3920327411,0.9458286819
7,3000,0,187,859,0.4336801579,0.9458286819
7,3100,0,194,910,0.4670757479,0.9458286819
7,3200,0,201.8,959,0.4828964112,0.9458286819
7,3300,0,209.1,1002,0.4502250948,0.9458286819
7,3400,0,215.2,1043,0.427590173,0.9458286819
7,3500,0,222.8,1090,0.4666174565,0.9458286819
7,3600,0,229,1130,0.4473760921,0.9458286819
7,3700,0,235.1,1164,0.3865759587,0.9458286819
7,3800,0,241.8,1215,0.456412625,0.9458286819
7,3900,0,248,1249,0.4197570209,0.9458286819
7,4000,0,254.7,1288,0.4063263448,0.9458286819
7,4100,0,261.8,1324,0.3862447579,0.9458286819
7,4200,0,268.4,1365,0.3976688185,0.9458286819
7,4300,0,275.1,1412,0.4748547028,0.9458286819
7,4400,0,281.5,1460,0.469787503,0.9458286819
7,4500,0,288.9,1513,0.5190599036,0.9458286819
7,4600,0,296.1,1559,0.4827832012,0.9458286819
7,4700,0,304,1612,0.5133013893,0.9458286819
7,4800,0,311.3,1657,0.4767745379,0.9458286819
7,4900,0,318.9,1715,0.5654156561,0.9458286819
7,5000,0,325.9,1768,0.5429273842,0.9458286819
8,0,1,0,0,0.1,0.7537969236
8,100,1,3.4,5,0.115077397,0.7537969236
8,200,1,7.9,17,0.1440135223,0.7537969236
8,300,1,11.8,28,0.1386567438,0.7537969236
8,400,1,15.9,33,0.1203793284,0.7537969236
8,500,1,20.2,50,0.1709950996,0.7537969236
8,600,1,25.3,65,0.1797348289,0.7537969236
8,700,1,30.6,80,0.18351362,0.7537969236
8,800,1,35.1,102,0.2138361871,0.7537969236
8,900,1,40.4,124,0.2215832367,0.7537969236
8,1000,1,44.9,144,0.2223712057,0.7537969236
8,1100,1,49.6,173,0.2707105534,0.7537969236
8,1200,1,55.1,198,0.2496688079,0.7537969236
8,1300,1,60.4,217,0.2111631496,0.7537969236
8,1400,1,65.6,244,0.2230670457,0.7537969236
8,1500,1,70.5,268,0.244766629,0.7537969236
8,1600,1,76.5,288,0.2103396612,0.7537969236
8,1700,1,80.4,302,0.1864290805,0.7537969236
8,1800,1,84.8,320,0.1681315051,0.7537969236
8,1900,1,89.6,338,0.1703868761,0.7537969236
8,2000,1,94.7,363,0.2105294101,0.7537969236
8,2100,1,99.8,396,0.2658260207,0.7537969236
8,2200,1,105.2,423,0.2617418754,0.7537969236
8,2300,1,109.3,444,0.2266150382,0.7537969236
8,2400,1,113.8,465,0.2193699476,0.7537969236
8,2500,1,118.8,486,0.2298874936,0.7537969236
8,2600,1,124.4,504,0.2050109609,0.7537969236
8,2700,1,128.9,526,0.2367224867,0.7537969236
8,2800,1,132.5,550,0.2504835945,0.7537969236
8,2900,1,137.1,570,0.2254687486,0.7537969236
8,3000,1,141.9,595,0.2377627705,0.7537969236
8,3100,1,147.2,621,0.2547514035,0.7537969236
8,3200,1,152.2,649,0.2794069512,0.7537969236
8,3300,1,157.2,678,0.2810401106,0.7537969236
8,3400,1,161.9,701,0.2448262249,0.7537969236
8,3500,1,166.7,726,0.237993139,0.7537969236
8,3600,1,172,749,0.2378044087,0.7537969236
8,3700,1,177.3,775,0.2708573187,0.7537969236
8,3800,1,183.3,809,0.3011420207,0.7537969236
8,3900,1,187.9,826,0.2090266507,0.7537969236
8,4000,1,191.8,845,0.1968125378,0.7537969236
8,4100,1,197.1,864,0.1988126721,0.7537969236
8,4200,1,202.3,892,0.2387898018,0.7537969236
8,4300,1,206.2,920,0.2288248561,0.7537969236
8,4400,1,210.4,942,0.1997473987,0.7537969236
8,4500,1,216.2,968,0.2394134764,0.7537969236
8,4600,1,220.7,995,0.2334280007,0.7537969236
8,4700,1,225.6,1018,0.2247352739,0.7537969236
8,4800,1,230.6,1039,0.2216090854,0.7537969236
8,4900,1,235.8,1051,0.18041114,0.7537969236
8,5000,1,241.3,1073,0.2009443682,0.7537969236
9,0,5,0,0,0.1,0.9621578933
9,100,5,6.2,10,0.124329622,0.9621578933
9,200,5,13.3,22,0.1439714237,0.9621578933
9,300,5,21.3,45,0.2183357645,0.9621578933
9,400,5,29,72,0.2545226852,0.9621578933
9,500,5,37.5,104,0.2734183698,0.9621578933
9,600,5,45.4,129,0.2646489933,0.9621578933
9,700,5,53.6,156,0.2829826812,0.9621578933
9,800,5,62.2,186,0.2867595428,0.9621578933
9,900,5,70.1,213,0.285042715,0.9621578933
9,1000,5,77.6,244,0.3058665072,0.9621578933
9,1100,5,86.2,274,0.2990263285,0.9621578933
9,1200,5,93.7,306,0.3192450361,0.9621578933
9,1300,5,101.7,336,0.3057251789,0.9621578933
9,1400,5,109.6,368,0.3193495619,0.9621578933
9,1500,5,117.6,396,0.3093535468,0.9621578933
9,1600,5,126,424,0.3004799805,0.9621578933
9,1700,5,134.5,458,0.3385050762,0.9621578933
9,1800,5,143.2,497,0.3582294068,0.9621578933
9,1900,5,151.5,532,0.3413709802,0.9621578933
9,2000,5,159.9,573,0.4011693969,0.9621578933
9,2100,5,168.2,608,0.3758674794,0.9621578933
9,2200,5,176.7,635,0.3155642051,0.9621578933
9,2300,5,185.6,665,0.3048796123,0.9621578933
9,2400,5,194.6,702,0.3375897261,0.9621578933
9,2500,5,203.8,734,0.3145171688,0.9621578933
9,2600,5,212.7,763,0.2932990987,0.9621578933
9,2700,5,221.5,792,0.2969078387,0.9621578933
9,2800,5,230.1,822,0.2898199019,0.9621578933
9,2900,5,238.1,853,0.3159952236,0.9621578933
9,3000,5,246.7,879,0.2814643872,0.9621578933
9,3100,5,255.4,902,0.2527896536,0.9621578933
9,3200,5,264.1,934,0.2954073458,0.9621578933
9,3300,5,273,969,0.3307276601,0.9621578933
9,3400,5,281.6,1002,0.3243927614,0.9621578933
9,3500,5,289.4,1034,0.3376427384,0.9621578933
9,3600,5,298.3,1060,0.2873414007,0.9621578933
9,3700,5,306.6,1090,0.2932163052,0.9621578933
9,3800,5,314.6,1112,0.24521942,0.9621578933
9,3900,5,323.1,1134,0.2220403151,0.9621578933
9,4000,5,331.9,1162,0.2626036368,0.9621578933
9,4100,5,341.2,1184,0.2322896837,0.9621578933
9,4200,5,350.7,1204,0.2024243502,0.9621578933
9,4300,5,360.1,1220,0.1768790307,0.9621578933
9,4400,5,369.5,1232,0.1277566573,0.9621578933
9,4500,5,377.9,1244,0.1392284852,0.9621578933
9,4600,5,387.3,1263,0.1725106489,0.9621578933
9,4700,5,396.5,1285,0.2305388328,0.9621578933
9,4800,5,405.3,1300,0.1780012892,0.9621578933
9,4900,5,414,1311,0.1374603329,0.9621578933
9,5000,5,422.6,1323,0.1285757477,0.9621578933
10,0,5,0,0,0.1,0.8945980616
10,100,5,6.5,16,0.1644751968,0.8945980616
10,200,5,13.5,40,0.1944937961,0.8945980616
10,300,5,20.4,60,0.1934010126,0.8945980616
10,400,5,27.7,89,0.2409105807,0.8945980616
